date,year,rainfall
1900-01-23,2015,0.984
1900-01-24,2015,1.020
1900-01-25,2015,0.875
1900-01-26,2015,0.713
1900-01-27,2015,0.711
1900-01-28,2015,0.762
1900-01-29,2015,1.107
1900-01-30,2015,1.081
1900-01-31,2015,1.070
1900-02-01,2015,1.089
1900-02-02,2015,1.132
1900-02-03,2015,1.109
1900-02-04,2015,1.149
1900-02-05,2015,1.024
1900-02-06,2015,0.942
1900-02-07,2015,0.806
1900-02-08,2015,0.669
1900-02-09,2015,0.618
1900-02-10,2015,0.543
1900-02-11,2015,0.515
1900-02-12,2015,0.428
1900-02-13,2015,0.392
1900-02-14,2015,0.543
1900-02-15,2015,0.529
1900-02-16,2015,0.529
1900-02-17,2015,0.469
1900-02-18,2015,0.656
1900-02-19,2015,0.659
1900-02-20,2015,0.720
1900-02-21,2015,0.774
1900-02-22,2015,0.830
1900-02-23,2015,0.782
1900-02-24,2015,0.719
1900-02-25,2015,0.667
1900-02-26,2015,0.657
1900-02-27,2015,0.620
1900-02-28,2015,0.592
1900-03-01,2015,0.619
1900-03-02,2015,0.635
1900-03-03,2015,0.667
1900-03-04,2015,0.713
1900-03-05,2015,0.771
1900-03-06,2015,0.756
1900-03-07,2015,0.963
1900-03-08,2015,0.892
1900-03-09,2015,0.884
1900-03-10,2015,0.799
1900-03-11,2015,0.694
1900-03-12,2015,0.599
1900-03-13,2015,0.552
1900-03-14,2015,0.664
1900-03-15,2015,0.786
1900-03-16,2015,0.831
1900-03-17,2015,0.854
1900-03-18,2015,0.864
1900-03-19,2015,0.860
1900-03-20,2015,0.849
1900-03-21,2015,0.860
1900-03-22,2015,1.712
1900-03-23,2015,2.557
1900-03-24,2015,1.368
1900-03-25,2015,0.954
1900-03-26,2015,0.916
1900-03-27,2015,0.835
1900-03-28,2015,0.692
1900-03-29,2015,0.773
1900-03-30,2015,0.819
1900-03-31,2015,0.793
1900-04-01,2015,0.670
1900-04-02,2015,0.701
1900-04-03,2015,0.702
1900-04-04,2015,0.619
1900-04-05,2015,0.870
1900-04-06,2015,0.963
1900-04-07,2015,0.930
1900-04-08,2015,0.948
1900-04-09,2015,0.825
1900-04-10,2015,0.965
1900-04-11,2015,0.869
1900-04-12,2015,0.775
1900-04-13,2015,0.694
1900-04-14,2015,0.830
1900-04-15,2015,0.789
1900-04-16,2015,0.787
1900-04-17,2015,0.726
1900-04-18,2015,0.758
1900-04-19,2015,0.800
1900-04-20,2015,0.872
1900-04-21,2015,1.181
1900-04-22,2015,1.488
1900-04-23,2015,1.276
1900-04-24,2015,1.064
1900-04-25,2015,0.915
1900-04-26,2015,0.782
1900-04-27,2015,0.809
1900-04-28,2015,0.775
1900-04-29,2015,0.705
1900-04-30,2015,0.702
1900-05-01,2015,0.595
1900-05-02,2015,1.100
1900-05-03,2015,2.520
1900-05-04,2015,2.653
1900-05-05,2015,2.049
1900-05-06,2015,1.424
1900-05-07,2015,1.140
1900-05-08,2015,1.088
1900-05-09,2015,1.176
1900-05-10,2015,1.188
1900-05-11,2015,1.144
1900-05-12,2015,1.178
1900-05-13,2015,1.144
1900-05-14,2015,1.136
1900-05-15,2015,1.284
1900-05-16,2015,1.349
1900-05-17,2015,1.291
1900-05-18,2015,1.129
1900-05-19,2015,1.123
1900-05-20,2015,1.057
1900-05-21,2015,0.984
1900-05-22,2015,0.912
1900-05-23,2015,1.357
1900-05-24,2015,1.287
1900-05-25,2015,1.116
1900-05-26,2015,0.903
1900-05-27,2015,0.771
1900-05-28,2015,0.719
1900-05-29,2015,0.700
1900-05-30,2015,0.692
1900-05-31,2015,0.751
1900-06-01,2015,0.927
1900-06-02,2015,1.038
1900-06-03,2015,1.236
1900-06-04,2015,1.340
1900-06-05,2015,1.207
1900-06-06,2015,1.108
1900-06-07,2015,0.935
1900-06-08,2015,0.814
1900-06-09,2015,0.823
1900-06-10,2015,0.714
1900-06-11,2015,0.672
1900-06-12,2015,0.652
1900-06-13,2015,0.693
1900-06-14,2015,0.791
1900-06-15,2015,0.891
1900-06-16,2015,0.935
1900-06-17,2015,0.951
1900-06-18,2015,0.999
1900-06-19,2015,0.997
1900-06-20,2015,1.159
1900-06-21,2015,0.974
1900-06-22,2015,0.808
1900-06-23,2015,0.740
1900-06-24,2015,0.589
1900-06-25,2015,0.526
1900-06-26,2015,0.523
1900-06-27,2015,0.549
1900-06-28,2015,0.600
1900-06-29,2015,0.636
1900-06-30,2015,0.802
1900-07-01,2015,0.877
1900-07-02,2015,0.925
1900-07-03,2015,0.971
1900-07-04,2015,1.079
1900-07-05,2015,1.091
1900-07-06,2015,0.909
1900-07-07,2015,0.957
1900-07-08,2015,0.798
1900-07-09,2015,0.554
1900-07-10,2015,0.502
1900-07-11,2015,0.533
1900-07-12,2015,0.686
1900-07-13,2015,0.659
1900-07-14,2015,0.781
1900-07-15,2015,1.034
1900-07-16,2015,1.079
1900-07-17,2015,1.011
1900-07-18,2015,1.014
1900-07-19,2015,1.069
1900-07-20,2015,0.851
1900-07-21,2015,0.606
1900-07-22,2015,0.530
1900-07-23,2015,0.458
